PC=0000000000000000, REG[ 1]=0000000000000008
PC=0000000000000004, REG[ 2]=00000000000027bb
PC=0000000000000008, REG[ 2]=0000000027bb0000
PC=000000000000000c, REG[ 0]=0000000000002ee6
PC=0000000000000010, REG[ 2]=0000000027bb2ee6
PC=0000000000000014, REG[ 0]=000000000000087b
PC=0000000000000018, REG[ 2]=0000027bb2ee6000
PC=000000000000001c, REG[ 2]=0000027bb2ee687b
PC=0000000000000020, REG[ 0]=00000000000000b0
PC=0000000000000024, REG[ 2]=0027bb2ee687b000
PC=0000000000000028, REG[ 2]=0027bb2ee687b0b0
PC=000000000000002c, REG[ 0]=00000000000000fd
PC=0000000000000030, REG[ 2]=27bb2ee687b0b000
PC=0000000000000034, REG[ 2]=27bb2ee687b0b0fd
PC=0000000000000038, REG[ 3]=0000000000000b50
PC=000000000000003c, REG[ 3]=0000000000b50000
PC=0000000000000040, REG[ 0]=00000000000004f3
PC=0000000000000044, REG[ 3]=0000000000b504f3
PC=0000000000000048, REG[ 0]=000000000000002d
PC=000000000000004c, REG[ 3]=000000000b504f30
PC=0000000000000050, REG[ 3]=000000000b504f3d
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3dd977343d8587e8
PC=0000000000000064, REG[10]=3dd9773448d5d725
PC=0000000000000068, REG[11]=d00889756baf0f91
PC=000000000000006c, REG[11]=d008897576ff5ece
PC=0000000000000070, REG[12]=58654689fb2e5196
PC=0000000000000074, REG[12]=5865468a067ea0d3
PC=0000000000000078, REG[10]=000000003dd97734
PC=000000000000007c, REG[11]=00000000d0088975
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000004d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000006d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504f7d
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3dd977343d8587e8
PC=0000000000000064, REG[10]=3dd9773448d5d765
PC=0000000000000068, REG[11]=bed4431757db4ed1
PC=000000000000006c, REG[11]=bed44317632b9e4e
PC=0000000000000070, REG[12]=6fe2ced6f6911316
PC=0000000000000074, REG[12]=6fe2ced701e16293
PC=0000000000000078, REG[10]=000000003dd97734
PC=000000000000007c, REG[11]=00000000bed44317
PC=0000000000000080, REG[12]=000000006fe2ced7
PC=0000000000000084, REG[13]=0000000000000000
PC=0000000000000088, REG[12]=0000000000000000
PC=000000000000008c, REG[13]=0000000000000000
PC=0000000000000090, REG[ 0]=000000000000008d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3dd977343d8587e8
PC=0000000000000064, REG[10]=3dd9773448d5d7e5
PC=0000000000000068, REG[11]=9c6bb65b3033cd51
PC=000000000000006c, REG[11]=9c6bb65b3b841d4e
PC=0000000000000070, REG[12]=9edddf70ed569616
PC=0000000000000074, REG[12]=9edddf70f8a6e613
PC=0000000000000078, REG[10]=000000003dd97734
PC=000000000000007c, REG[11]=000000009c6bb65b
PC=0000000000000080, REG[12]=000000009edddf70
PC=0000000000000084, REG[13]=0000000000000000
PC=0000000000000088, REG[12]=0000000000000000
PC=000000000000008c, REG[13]=0000000000000000
PC=0000000000000090, REG[ 0]=00000000000000ad
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3dd977343d8587e8
PC=0000000000000064, REG[10]=3dd9773448d5d7e5
PC=0000000000000068, REG[11]=9c6bb65b3033cd51
PC=000000000000006c, REG[11]=9c6bb65b3b841d4e
PC=0000000000000070, REG[12]=9edddf70ed569616
PC=0000000000000074, REG[12]=9edddf70f8a6e613
PC=0000000000000078, REG[10]=000000003dd97734
PC=000000000000007c, REG[11]=000000009c6bb65b
PC=0000000000000080, REG[12]=000000009edddf70
PC=0000000000000084, REG[13]=0000000000000000
PC=0000000000000088, REG[12]=0000000000000000
PC=000000000000008c, REG[13]=0000000000000000
PC=0000000000000090, REG[ 0]=00000000000000cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3dd977343d8587e8
PC=0000000000000064, REG[10]=3dd9773448d5d7e5
PC=0000000000000068, REG[11]=9c6bb65b3033cd51
PC=000000000000006c, REG[11]=9c6bb65b3b841d4e
PC=0000000000000070, REG[12]=9edddf70ed569616
PC=0000000000000074, REG[12]=9edddf70f8a6e613
PC=0000000000000078, REG[10]=000000003dd97734
PC=000000000000007c, REG[11]=000000009c6bb65b
PC=0000000000000080, REG[12]=000000009edddf70
PC=0000000000000084, REG[13]=0000000000000000
PC=0000000000000088, REG[12]=0000000000000000
PC=000000000000008c, REG[13]=0000000000000000
PC=0000000000000090, REG[ 0]=00000000000000ed
